project, method, run, timing
gson, 3-Proj, 13, 11.5
gson, 3D-Clus, 13, 55.3
gson, orig, 14, 11.8
gson, 3-Proj, 14, 11.5
gson, 3D-Clus, 14, 54.9
gson, orig, 15, 11.6
gson, 3-Proj, 15, 11.5
gson, 3D-Clus, 15, 53.9
gson, orig, 16, 11.7
gson, 3-Proj, 16, 11.6
gson, 3D-Clus, 16, 53.6
gson, orig, 17, 11.6
gson, 3-Proj, 17, 11.5
gson, 3D-Clus, 17, 53.4
gson, orig, 18, 12.0
gson, 3-Proj, 18, 11.6
gson, 3D-Clus, 18, 53.7
gson, orig, 19, 11.9
gson, 3-Proj, 19, 11.7
gson, 3D-Clus, 19, 55.0
gson, orig, 20, 11.9
gson, 3-Proj, 20, 11.6
gson, 3D-Clus, 20, 56.0
gson, orig, 21, 11.7
gson, 3-Proj, 21, 11.6
gson, 3D-Clus, 21, 53.5
gson, orig, 22, 11.6
gson, 3-Proj, 22, 11.5
gson, 3D-Clus, 22, 53.4
gson, orig, 23, 11.6
gson, 3-Proj, 23, 11.6
gson, 3D-Clus, 23, 53.7
gson, orig, 24, 11.6
gson, 3-Proj, 24, 11.5
gson, 3D-Clus, 24, 53.4
gson, orig, 25, 11.5
gson, 3-Proj, 25, 11.6
gson, 3D-Clus, 25, 53.4
gson, orig, 26, 11.6
gson, 3-Proj, 26, 11.7
gson, 3D-Clus, 26, 53.6
gson, orig, 27, 11.6
gson, 3-Proj, 27, 11.6
gson, 3D-Clus, 27, 53.5
gson, orig, 28, 11.6
gson, 3-Proj, 28, 11.6
gson, 3D-Clus, 28, 55.3
gson, orig, 29, 11.8
gson, 3-Proj, 29, 12.5
gson, 3D-Clus, 29, 53.6
commons-io, cs, 0, 161.9
commons-io, orig, 0, 27.5
commons-io, 3-Proj, 0, 28.0
commons-io, 3D-Clus, 0, 157.5
commons-io, orig, 1, 27.3
commons-io, 3-Proj, 1, 27.4
commons-io, 3D-Clus, 1, 141.8
commons-io, orig, 2, 27.3
commons-io, 3-Proj, 2, 27.0
commons-io, 3D-Clus, 2, 142.9
commons-io, orig, 3, 28.6
commons-io, 3-Proj, 3, 27.4
commons-io, 3D-Clus, 3, 142.3
commons-io, orig, 4, 27.2
commons-io, 3-Proj, 4, 27.0
commons-io, 3D-Clus, 4, 141.9
commons-io, orig, 5, 28.3
commons-io, 3-Proj, 5, 27.6
commons-io, 3D-Clus, 5, 141.0
commons-io, orig, 6, 27.6
commons-io, 3-Proj, 6, 26.9
commons-io, 3D-Clus, 6, 140.8
commons-io, orig, 7, 27.5
commons-io, 3-Proj, 7, 27.2
commons-io, 3D-Clus, 7, 154.9
commons-io, orig, 8, 27.2
commons-io, 3-Proj, 8, 26.9
commons-io, 3D-Clus, 8, 148.0
commons-io, orig, 9, 27.7
commons-io, 3-Proj, 9, 27.3
commons-io, 3D-Clus, 9, 154.6
commons-io, orig, 10, 27.4
commons-io, 3-Proj, 10, 27.0
commons-io, 3D-Clus, 10, 144.4
commons-io, orig, 11, 28.0
commons-io, 3-Proj, 11, 26.9
commons-io, 3D-Clus, 11, 144.1
commons-io, orig, 12, 27.2
commons-io, 3-Proj, 12, 27.1
commons-io, 3D-Clus, 12, 143.4
commons-io, orig, 13, 27.5
commons-io, 3-Proj, 13, 26.8
commons-io, 3D-Clus, 13, 155.3
commons-io, orig, 14, 27.9
commons-io, 3-Proj, 14, 28.5
commons-io, 3D-Clus, 14, 141.8
commons-io, orig, 15, 27.1
commons-io, 3-Proj, 15, 27.0
commons-io, 3D-Clus, 15, 142.3
commons-io, orig, 16, 27.3
commons-io, 3-Proj, 16, 27.6
commons-io, 3D-Clus, 16, 142.9
