project, method, run, timing
google-auto-factory, 3-Proj, 10, 0.9
google-auto-factory, 3D-Clus, 10, 2.3
google-auto-factory, orig, 11, 1.0
google-auto-factory, 3-Proj, 11, 0.9
google-auto-factory, 3D-Clus, 11, 2.3
google-auto-factory, orig, 12, 1.0
google-auto-factory, 3-Proj, 12, 1.0
google-auto-factory, 3D-Clus, 12, 2.3
google-auto-factory, orig, 13, 1.0
google-auto-factory, 3-Proj, 13, 0.9
google-auto-factory, 3D-Clus, 13, 2.3
google-auto-factory, orig, 14, 1.0
google-auto-factory, 3-Proj, 14, 1.0
google-auto-factory, 3D-Clus, 14, 2.3
google-auto-factory, orig, 15, 1.0
google-auto-factory, 3-Proj, 15, 0.9
google-auto-factory, 3D-Clus, 15, 2.3
google-auto-factory, orig, 16, 1.0
google-auto-factory, 3-Proj, 16, 0.9
google-auto-factory, 3D-Clus, 16, 2.3
google-auto-factory, orig, 17, 1.0
google-auto-factory, 3-Proj, 17, 0.9
google-auto-factory, 3D-Clus, 17, 2.3
google-auto-factory, orig, 18, 1.0
google-auto-factory, 3-Proj, 18, 0.9
google-auto-factory, 3D-Clus, 18, 2.3
google-auto-factory, orig, 19, 1.0
google-auto-factory, 3-Proj, 19, 0.9
google-auto-factory, 3D-Clus, 19, 2.3
google-auto-factory, orig, 20, 1.0
google-auto-factory, 3-Proj, 20, 0.9
google-auto-factory, 3D-Clus, 20, 2.3
google-auto-factory, orig, 21, 1.0
google-auto-factory, 3-Proj, 21, 1.0
google-auto-factory, 3D-Clus, 21, 2.2
google-auto-factory, orig, 22, 1.0
google-auto-factory, 3-Proj, 22, 0.9
google-auto-factory, 3D-Clus, 22, 2.3
google-auto-factory, orig, 23, 1.0
google-auto-factory, 3-Proj, 23, 1.0
google-auto-factory, 3D-Clus, 23, 2.2
google-auto-factory, orig, 24, 1.0
google-auto-factory, 3-Proj, 24, 1.0
google-auto-factory, 3D-Clus, 24, 2.3
google-auto-factory, orig, 25, 1.0
google-auto-factory, 3-Proj, 25, 0.9
google-auto-factory, 3D-Clus, 25, 2.2
google-auto-factory, orig, 26, 1.0
google-auto-factory, 3-Proj, 26, 0.9
google-auto-factory, 3D-Clus, 26, 2.3
google-auto-factory, orig, 27, 1.0
google-auto-factory, 3-Proj, 27, 0.9
google-auto-factory, 3D-Clus, 27, 2.2
google-auto-factory, orig, 28, 1.0
google-auto-factory, 3-Proj, 28, 0.9
google-auto-factory, 3D-Clus, 28, 2.3
google-auto-factory, orig, 29, 1.0
google-auto-factory, 3-Proj, 29, 0.9
google-auto-factory, 3D-Clus, 29, 2.2
